Configuracion,0-1-0-2,0-2-1-4,0-3-3-0,0-4-3-3,1-0-4-3,1-1-1-1,1-2-2-2,1-3-0-1,1-4-3-4,2-0-1-0,2-1-2-0,2-2-3-1,2-3-4-2,2-4-0-3,3-0-0-4,3-1-3-3,3-2-4-0,3-3-2-3,3-4-1-2,4-0-3-2,4-1-4-4,4-2-0-0,4-3-1-3,4-4-2-1,0-4-4-1,1-4-3-0,3-4-2-1,2-3-2-4,0-2-1-3
AutoMpg,0.21720107692672777,0.2177002108562444,0.2174623314935314,0.2197703103421624,0.21794082006213428,0.2198042922170513,0.21518883567058272,0.21792713190389382,0.2174127531425678,0.21916638721546938,0.21837861243890833,0.21710996925990672,0.21841596703418442,0.21816888534557125,0.21646493033297992,0.21867355142923506,0.21830360053967876,0.21852008992912406,0.21783928706608616,0.2193148167149274,0.2198538107317219,0.21813907958360002,0.2192531011879372,0.21803301320432708,0.2173519488914026,0.21733199810498088,0.21791395935502023,0.2174702179379062,0.2180249365258403
AutoPrice,2.4245813619542029E-4,2.3100806122973482E-4,2.3360613212619334E-4,2.2933265268745314E-4,2.311366586260514E-4,2.3233631188653307E-4,2.3675233691775255E-4,2.3242207457243395E-4,2.3317420617313672E-4,2.3489298743099764E-4,2.476712289087955E-4,2.3383774585398028E-4,2.365098220988058E-4,2.3201739895039802E-4,2.3121104674064417E-4,2.3660647048745687E-4,2.2901752043244603E-4,2.3332182402028336E-4,2.444872573990782E-4,2.406512615637994E-4,2.298512535396984E-4,2.3851900870012268E-4,2.327711154346212E-4,2.4225902832286054E-4,2.4309135171592016E-4,2.3972195205099043E-4,2.361916833938591E-4,2.3601464385024685E-4,2.3478392546688438E-4
Banknote,0.9999259259259259,0.9999259259259259,0.9999259259259259,0.9999259259259259,0.9999259259259259,0.9999259259259259,1.0,1.0,1.0,1.0,1.0,0.9999259259259259,1.0,1.0,0.9998518518518519,0.9999259259259259,1.0,0.9999259259259259,0.9999259259259259,0.9999259259259259,0.9999259259259259,0.9999259259259259,1.0,0.9999259259259259,1.0,0.9997777777777778,1.0,1.0,1.0
Blood,0.7528225806451613,0.7504032258064516,0.75,0.7525537634408601,0.7541666666666667,0.7528225806451612,0.753225806451613,0.7526881720430108,0.7529569892473117,0.7536290322580644,0.754032258064516,0.7538978494623655,0.7534946236559139,0.751747311827957,0.7528225806451612,0.7541666666666665,0.7521505376344085,0.7548387096774193,0.7526881720430108,0.7549731182795699,0.7525537634408601,0.7536290322580645,0.7526881720430106,0.754032258064516,0.7541666666666665,0.7526881720430106,0.7543010752688171,0.7534946236559139,0.753494623655914
Chart,0.9281666666666669,0.9246666666666667,0.9263333333333333,0.9273333333333332,0.9213333333333332,0.9256666666666667,0.9206666666666666,0.9199999999999999,0.9281666666666665,0.9216666666666667,0.9206666666666666,0.9239999999999998,0.9258333333333333,0.9258333333333333,0.9243333333333333,0.9253333333333331,0.925,0.9231666666666668,0.9266666666666666,0.9193548387096773,0.9225,0.9236666666666664,0.9265,0.9206666666666666,0.9258333333333333,0.9216666666666665,0.9228333333333332,0.9268333333333334,0.9283333333333333
Dermatology,0.9710382513661201,0.9658469945355193,0.9685792349726775,0.9704918032786884,0.9683060109289617,0.9696721311475407,0.9699453551912568,0.969672131147541,0.9693989071038249,0.968032786885246,0.9685792349726775,0.969398907103825,0.9680327868852457,0.9680327868852457,0.9693989071038253,0.9718579234972676,0.9704918032786883,0.9674863387978142,0.9699453551912568,0.9699453551912567,0.9661202185792349,0.9691256830601093,0.9680327868852461,0.968852459016393,0.9699453551912568,0.9666666666666667,0.9699453551912569,0.9688524590163933,0.9715846994535519
Diabetes,0.7517361111111109,0.7529513888888887,0.7522569444444442,0.7519097222222223,0.7526041666666665,0.7487847222222223,0.7479166666666668,0.7512152777777777,0.7486111111111113,0.7553819444444445,0.7526041666666667,0.7494791666666667,0.7510416666666668,0.7512152777777777,0.7526041666666667,0.7501736111111111,0.746701388888889,0.7477430555555552,0.7479166666666666,0.7527777777777779,0.7512152777777779,0.7531249999999999,0.7477430555555554,0.755034722222222,0.7536458333333331,0.7550347222222221,0.7475694444444443,0.7520833333333332,0.7519097222222222
Ecoli,0.8494047619047619,0.8529761904761906,0.8529761904761902,0.8508928571428573,0.8514880952380951,0.8508928571428572,0.8517857142857143,0.8502976190476191,0.85,0.8538690476190478,0.8526785714285712,0.849702380952381,0.8511904761904764,0.8517857142857144,0.8517857142857145,0.8526785714285715,0.8502976190476191,0.8505952380952381,0.8520833333333331,0.8535714285714284,0.8529761904761907,0.8514880952380951,0.8494047619047619,0.8535714285714284,0.8547619047619047,0.8514880952380951,0.8532738095238095,0.8538690476190476,0.8523809523809525
Fertility,0.7255555555555553,0.7166666666666665,0.7077777777777778,0.7033333333333331,0.7200000000000001,0.711111111111111,0.6999999999999998,0.7011111111111109,0.7211111111111109,0.7033333333333331,0.7077777777777777,0.6977777777777777,0.7211111111111109,0.7066666666666664,0.7099999999999997,0.7211111111111108,0.7199999999999999,0.7211111111111109,0.7066666666666664,0.7244444444444441,0.7055555555555555,0.7188888888888888,0.7077777777777777,0.708888888888889,0.7055555555555555,0.7044444444444443,0.7099999999999997,0.7033333333333334,0.7011111111111109
Housing,0.19337376653124105,0.19471740486945033,0.19496760022317547,0.1976897715994999,0.19589978431000477,0.19577439205238764,0.1946350330775359,0.19409217028761505,0.1951930782096609,0.1938653352094418,0.19530340382148198,0.1923310639850841,0.19642061647462464,0.19833946209327635,0.19272911066557782,0.1943939531134329,0.19753865086802766,0.1949327157927906,0.1968478747473327,0.1983014753384659,0.19109816681127673,0.19703608795496905,0.19826285115771394,0.19686579172060695,0.19782402220803463,0.19385609480349536,0.1931681395070214,0.19375002455173326,0.19314192454518866
