Configuracion,Banknote,Blood,Car,Cardiotocography,Chart,Dermatology,Fertility,Haberman,Hayes,Hill,Ionosphere,Letter,Libras,Optdigits,Pen,QSARBiodegradation,Shuttle,SPECTF,Wilt,Zoo
100.0:0.3:4.0:0.5,0.99978,0.74677,0.84253,0.76167,0.90567,0.96612,0.64333,0.72614,0.65606,0.63828,0.851,0.68592,0.76967,0.8767,0.90574,0.86076,0.57875,0.35125,0.96871,0.73871
100.0:0.5:8.0:0.95,0.99956,0.75175,0.84149,0.7611,0.90683,0.96284,0.67556,0.72451,0.66364,0.64752,0.84701,0.68506,0.779,0.87377,0.90894,0.85857,0.546,0.33833,0.96791,0.68387
100.0:0.7:16.0:0.2,1,0.7457,0.83385,0.76162,0.9055,0.96448,0.65222,0.7232,0.63864,0.6401,0.85128,0.68319,0.76667,0.87642,0.91022,0.85705,0.5113,0.34375,0.96851,0.72688
100.0:0.95:16.0:0.7,1,0.7457,0.83663,0.76148,0.90767,0.96093,0.64444,0.7232,0.64318,0.6363,0.851,0.68293,0.76333,0.87876,0.90985,0.85733,0.5113,0.33458,0.96851,0.68817
150.0:0.15:20.0:0.7,0.99985,0.75013,0.83918,0.76171,0.90633,0.96421,0.66889,0.72614,0.64848,0.64241,0.83932,0.68182,0.76767,0.87455,0.9052,0.85952,0.481,0.38458,0.96789,0.68925
150.0:0.3:8.0:0.35,0.99985,0.75013,0.83918,0.76171,0.90633,0.96421,0.66889,0.72614,0.64773,0.64241,0.83932,0.68182,0.76767,0.87455,0.9052,0.85952,0.48209,0.38458,0.96789,0.68172
150.0:0.5:12.0:0.5,0.99993,0.74597,0.83872,0.76071,0.91083,0.96885,0.68444,0.7219,0.66288,0.64076,0.84957,0.68291,0.76967,0.87603,0.90673,0.85533,0.40876,0.35458,0.96826,0.70323
150.0:0.7:4.0:0.35,0.99963,0.74879,0.84028,0.76086,0.915,0.96503,0.68111,0.7183,0.66212,0.63944,0.84758,0.6821,0.77033,0.87218,0.90821,0.86076,0.53751,0.36958,0.96725,0.72258
150.0:0.95:16.0:0.95,0.99985,0.75013,0.83918,0.76171,0.90633,0.96421,0.67,0.72614,0.64848,0.64241,0.83932,0.68182,0.76767,0.87455,0.9052,0.85952,0.47954,0.38458,0.96789,0.69785
200.0:0.15:8.0:0.2,0.99985,0.74866,0.83414,0.76124,0.9025,0.96503,0.64556,0.71667,0.65076,0.64406,0.85527,0.68081,0.76133,0.87594,0.90345,0.8579,0.49392,0.33375,0.96689,0.66022
200.0:0.3:12.0:0.2,1,0.74651,0.83929,0.75805,0.90617,0.96393,0.67333,0.71928,0.67348,0.62838,0.849,0.68153,0.77633,0.87468,0.89983,0.85152,0.57805,0.33875,0.96776,0.70215
200.0:0.5:16.0:0.35,0.9997,0.75148,0.8327,0.75781,0.909,0.96393,0.63556,0.72516,0.65985,0.63383,0.84217,0.68229,0.772,0.87294,0.9034,0.85495,0.51975,0.36542,0.96756,0.72581
200.0:0.7:20.0:0.5,0.99963,0.74866,0.84167,0.75933,0.90717,0.96257,0.66778,0.71993,0.66212,0.62508,0.84387,0.67937,0.76533,0.87368,0.90155,0.85752,0.47737,0.32208,0.96747,0.70753
200.0:0.95:4.0:0.7,0.99963,0.74933,0.84005,0.75914,0.90433,0.96148,0.66889,0.71667,0.66439,0.62954,0.84188,0.67971,0.77367,0.87201,0.90155,0.85762,0.45428,0.33875,0.96747,0.69892
250.0:0.15:4.0:0.95,0.99956,0.7496,0.83432,0.75952,0.90183,0.96066,0.64333,0.72157,0.67273,0.64208,0.8453,0.67902,0.76633,0.8749,0.90484,0.85733,0.37934,0.33625,0.96663,0.67204
250.0:0.3:16.0:0.7,0.99993,0.74892,0.84022,0.75662,0.90467,0.96038,0.65333,0.7219,0.69015,0.63069,0.84986,0.68022,0.766,0.87188,0.90338,0.85686,0.47117,0.35417,0.96749,0.64194
250.0:0.5:20.0:0.2,0.99985,0.74879,0.82963,0.76005,0.90767,0.96667,0.66778,0.71863,0.65455,0.62772,0.84701,0.67986,0.76867,0.87416,0.90628,0.85648,0.49906,0.38708,0.96735,0.69785
250.0:0.7:12.0:0.7,0.99993,0.75013,0.83727,0.75838,0.90583,0.96311,0.62778,0.72484,0.66439,0.62657,0.84359,0.68073,0.761,0.8737,0.90125,0.85581,0.57937,0.36625,0.96731,0.73548
250.0:0.95:8.0:0.5,0.99956,0.74892,0.84022,0.75662,0.90467,0.96038,0.65333,0.7219,0.69015,0.63069,0.84986,0.68022,0.766,0.87188,0.90338,0.85686,0.43258,0.35417,0.96749,0.64194
