Configuracion,AutoMpg,AutoPrice,BodyFat,Cpu,Housing,Sensory,Servo,Veteran
100.0:0.3:4.0:0.5,0.22013,0.00027,0.42611,0.04116,0.19313,0.54806,0.46386,0.00377
100.0:0.5:8.0:0.95,0.22104,0.00025,0.41087,0.03222,0.19379,0.55091,0.46664,0.00378
100.0:0.7:16.0:0.2,0.21956,0.00025,0.43741,0.03206,0.19058,0.54694,0.4656,0.00367
100.0:0.95:16.0:0.7,0.22188,0.00025,0.43832,0.02515,0.19328,0.55178,0.46507,0.00398
150.0:0.15:20.0:0.7,0.2189,0.00025,0.42172,0.03598,0.19148,0.55007,0.46609,0.00383
150.0:0.3:8.0:0.35,0.21879,0.00026,0.42891,0.03506,0.18973,0.55036,0.46956,0.00346
150.0:0.5:12.0:0.5,0.2223,0.00024,0.41707,0.03336,0.19085,0.5519,0.46439,0.00321
150.0:0.7:4.0:0.35,0.2228,0.00028,0.40954,0.03384,0.18882,0.55066,0.46586,0.00377
150.0:0.95:16.0:0.95,0.22033,0.00026,0.43486,0.03136,0.1928,0.54994,0.46429,0.00385
200.0:0.15:8.0:0.2,0.22311,0.00025,0.41686,0.04585,0.19484,0.54995,0.46399,0.00427
200.0:0.3:12.0:0.2,0.22144,0.00025,0.40479,0.02767,0.18995,0.5504,0.46772,0.00341
200.0:0.5:16.0:0.35,0.22466,0.00025,0.41934,0.04409,0.18907,0.54773,0.46577,0.00378
200.0:0.7:20.0:0.5,0.22231,0.00025,0.43149,0.02335,0.19234,0.55128,0.4665,0.00384
200.0:0.95:4.0:0.7,0.22327,0.00025,0.40448,0.02662,0.19166,0.55168,0.46916,0.00386
250.0:0.15:4.0:0.95,0.22467,0.00025,0.43539,0.04002,0.18662,0.55239,0.46741,0.00414
250.0:0.3:16.0:0.7,0.22265,0.00025,0.42607,0.04104,0.192,0.54844,0.47025,0.00395
250.0:0.5:20.0:0.2,0.22234,0.00024,0.40325,0.03693,0.18752,0.55057,0.46514,0.00394
250.0:0.7:12.0:0.7,0.22206,0.00025,0.41675,0.03964,0.19374,0.54897,0.4667,0.00353
250.0:0.95:8.0:0.5,0.22104,0.00026,0.41125,0.03776,0.19259,0.54864,0.46951,0.00394
300.0:0.15:16.0:0.5,0.2237,0.00027,0.40723,0.03295,0.19151,0.5496,0.46524,0.00388
300.0:0.3:20.0:0.95,0.2224,0.00026,0.40426,0.03444,0.19228,0.54744,0.46215,0.00359
300.0:0.5:4.0:0.2,0.22123,0.00026,0.4167,0.03013,0.19292,0.54723,0.46712,0.0036
300.0:0.7:8.0:0.7,0.22277,0.00025,0.42014,0.03741,0.19126,0.5491,0.46428,0.00382
300.0:0.95:12.0:0.35,0.22023,0.00025,0.42257,0.03032,0.18935,0.55135,0.46815,0.00397
100.0:0.95:20.0:0.35,0.22119,0.00024,0.41377,0.02522,0.19245,0.54983,0.46678,0.00322
150.0:0.95:16.0:0.2,0.22019,0.00025,0.40004,0.03404,0.19411,0.54891,0.46572,0.00384
250.0:0.95:12.0:0.35,0.22234,0.00024,0.43595,0.0368,0.19121,0.5498,0.46402,0.00415
200.0:0.7:12.0:0.95,0.22253,0.00025,0.42495,0.03052,0.19243,0.55123,0.46478,0.00388
100.0:0.5:8.0:0.7,0.22193,0.00025,0.41872,0.03339,0.18674,0.54992,0.45977,0.00393
